CBLs No,BL Local No,Bussiness Name,Legal Type,Is Branch,Parent BL NO,ES.DATE,Expiry Date,BA Description,Economic Department,Registration ED Branch,Mobile No,Phone NO,Status,PO Box,Email,Website,Full Address
11675657,964547,RUBBER FLEX SAFETY EQUIPMENTS L.L.C,Single Person Company,No,,29/06/2021,28/06/2025," Fire Fighting &amp; Safety Equipment Trading,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,,Active,,AHMED192HAMZA@GMAIL.COM,,Deira Oud Al Muteena 3
11700713,CN-4063694,ELJI INTERNATIONAL RUBBER TRADING,Establishments,No,,10/07/2021,04/08/2026," Wholesale of Rubber Trading,",Abu Dhabi Department of Economic Development,Abu Dhabi Department for Economic Development,00971553550300,,Active,,info@eljirubber.com,,"مصفح 26 مصفح أبوظبي مصفح, مصفح 26, 0 : ~, مبنى, محمد خلفان محمد خلفان"
11726593,54273,ASIAN RUBBER INDUSTRY L.L.C,Single Person Company,No,,02/05/2021,07/05/2025,"Rubber Tyres Manufacturing,Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing,",Ras Al Khaimah Department of Economic Development,Ras Al Khaimah Department of Economic Development,,,Active,,admin@asianrubber.ae,,   الغيل
11737039,33741,SUPREME RUBBER Manufacture of tires and rubber products LLC,Limited Liability Company,No,,16/09/2010,12/09/2024,"Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing,",Ras Al Khaimah Department of Economic Development,Ras Al Khaimah Department of Economic Development,,,Active,,supreme2@eim.ae,,شارع الإتحاد    الجزيرة الحمراء
11738911,28257,OCEAN RUBBER FACTORY LLC,Limited Liability Company,No,,03/10/2007,12/09/2024,"Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing,Rubber Conveyor and Transmission Belts or Belting Manufacturing,Metal Reservoirs, Tanks and Similar Containers Installed as Fixtures Manufacturing,Metal Coating,Non-metallic Coating of Metals,Machining and Forming of Metals,",Ras Al Khaimah Department of Economic Development,Ras Al Khaimah Department of Economic Development,,,Active,,info@orf.ae,,الشارع العام   منطقة الغيل
10866333,646467,ROYAL RUBBER ELECTRIC EQUIPMENT TRADING (L.L.C),Limited Liability Company,No,,07/11/2010,06/11/2024," Electrical Fittings Trading,Rubber Trading,Solar Energy Systems &amp; Components Trading,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,0097142580780,Active,,alrafahfire@gmail.com,,Deira Al Qusais Industrial Area 3  0
11752390,46035,KNOCK DOWN FLOORING RUBBER INDUSTRIES LLC OPC,Single Person Company,No,,23/01/2017,12/03/2025,"Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing,",Ras Al Khaimah Department of Economic Development,Ras Al Khaimah Department of Economic Development,,,Active,,noufin@premiumflooringuae.com,,شارع الجزيرة    الجزيرة الحمراء
11752401,44358,BRIGHT RUBBER INDUSTRIES,Establishments,No,,21/04/2016,12/04/2025,"Natural And Synthetic Rubber Mixtures Manufacturing,Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing,",Ras Al Khaimah Department of Economic Development,Ras Al Khaimah Department of Economic Development,,,Active,,email@email.com,,شارع الإتحاد    الجزيرة الحمراء
11752424,41407,AL KHALEEJ POLYMERS RUBBER & PLASTIC INDUSTRIES LLC,Limited Liability Company,No,,10/03/2015,03/03/2025,"Synthetic Rubber in Primary Forms Manufacturing,Natural And Synthetic Rubber Mixtures Manufacturing,Plastic Sanitary Ware Manufacturing, Plastic Bucket and Containers Manufacturing,",Ras Al Khaimah Department of Economic Development,Ras Al Khaimah Department of Economic Development,,,Active,,info@terrainfloorings.com,,الشارع العام   الغيل
